date_issued,start_date,finish_date,status,closure,on_street,from_street,to_street,impact,duration,details,description,activity_type,traffic_district,infrastructure,latitude,longitude
10/20/2023,10/25/2023,12/11/2023,Current,93 ST Total Closure,93 Street NW,78 Avenue NW,79 Avenue NW,Total Closure,Six + Weeks,"93 ST, 78-79 AV closed to vehicle traffic. Detour using other routes.",Watermain Install,Construction,Central,Road,53.51417479,-113.4704363
10/20/2023,10/25/2023,12/11/2023,Current,79 AV Total Closure,79 Avenue NW,91 Street NW,93 Street NW,Total Closure,Six+ Weeks,"Intersection of 79 AV & 91 ST; and, 79 AV, 91-93 ST will be closed to vehicle traffic with no thru access. Detour using other routes.",Watermain Install,Construction,Central,Road,53.51512974,-113.4674098
6/6/2023,6/19/2023,12/18/2023,REVISED,Rossdale Road Closure,Rossdale Road NW,100 Street NW,103 Street NW,Total Closure,3.5 month,"Starts June 19 at 9am, Rossdale Rd EBD closed from 100 St - 101 St.  Rossdale Rd WBD permanently closed. Detour using other route.",Rossdale Rd Rehab,Construction,Central,Road and Sidewalk,53.53468885,-113.4973146
6/6/2023,6/19/2023,12/18/2023,REVISED,Rossdale Road Closure,Rossdale Road NW,100 Street NW,103 Street NW,Total Closure,3.5 month,"Starts June 19 at 9am, Rossdale Rd EBD closed from 100 St - 101 St.  Rossdale Rd WBD permanently closed. Detour using other route.",Rossdale Rd Rehab,Construction,Central,Road and Sidewalk,53.53762038,-113.4911333
2/10/2023,6/2/2023,12/23/2023,REVISED,145 Street Closed,145 Street NW,Stony Plain Road,101 Avenue NW,Travel Delays,7 Months,145 Street will be closed from Stony Plain Rd to 101 Av. Use other routes.https://marigoldinfra.ca/ *new dates and duration*,West LRT Construction,Construction,Northwest,Road,53.54205833,-113.5708481
5/5/2023,5/5/2023,12/22/2023,REVISED,152 St Closed S of Stony Plain Rd for 200m,152 Street NW,Stony Plain Road,100 Avenue NW,Total Closure,8 Months,152 St is closed S of Stony Plain Rd for approximately 200m.Https://marigoldinfra.ca/ *new end date and duration*,West LRT Construction,Construction,Northwest,Road,53.5412859,-113.5832678
11/27/2023,12/1/2023,12/3/2023,Current,104 Street Closure,104 Street NW,Jasper Avenue NW,102 Avenue NW,Total Closure,Friday 6am - Sunday 12pm,"Fri, Dec 1st at 6am to Sun, Dec 3rd at 12pm. 104 St, Jasper Av - 102 Av will be closed for a Special Event.",Downtown Winterval Event,Special Event,Central,Road,53.5409312,-113.4992494
9/18/2023,9/18/2023,12/15/2023,REVISED,"123 St, 106 Ave - S/O 106 Ave",123 Street NW,106 Avenue NW,105 Avenue NW,Total Closure,1.5 Months,123 St will be closed from 106 Ave to the 2nd access south of 106 Ave.,Crane Lift,Construction,Northeast,Road,53.5493653,-113.5341417
11/28/2023,12/3/2023,12/4/2023,Current,102 Ave Closure,102 Avenue NW,100 Street NW,101 Street NW,Total Closure,Sun at 8pm - Mon at 4am,"102 Ave, 100 St - 101 St closed to vehicle and bicyle traffic from 8pm on Sunday to 4am on Mon due to a crane lift. Detour using other route.",Crane Lift,Construction,Central,Road and Sidewalk,53.54336172,-113.4907046
11/17/2023,7/24/2023,2/16/2024,Current,Single lane closure,111 St,19 Av,12 Av,Increased Travel Time,208 Days,111 Street southbound is reduced to a single lane for EPCOR Drainage work.  Pedestrian detour in place.,EPCOR Drainage work,Construction,Southwest,Road and Sidewalk,53.44878594,-113.5162599
11/17/2023,7/24/2023,2/16/2024,Current,Single lane closure,111 St,19 Av,12 Av,Increased Travel Time,208 Days,111 Street southbound is reduced to a single lane for EPCOR Drainage work.  Pedestrian detour in place.,EPCOR Drainage work,Construction,Southwest,Road and Sidewalk,53.44279567,-113.5177838
11/29/2023,12/7/2023,12/7/2023,Current,142 St Reduced to 1 Lane SB,142 Street NW,101 Avenue NW,100 Avenue NW,Travel Delays,1 Day,142 St from 101 Av to 100 Av will be reduced to 1 lane SB for 2 days during off peak hours. Use other routes.,Crane Lift,Construction,Northwest,Road,53.54124331,-113.5656916
11/29/2023,12/5/2023,12/5/2023,Current,142 St Reduced to 1 Lane SB,142 Street NW,101 Avenue NW,100 Avenue NW,Travel Delays,1 Day,142 St from 101 Av to 100 Av will be reduced to 1 lane SB for 2 days during off peak hours. Use other routes.,Crane Lift,Construction,Northwest,Road,53.54124331,-113.5656916
11/29/2023,12/8/2023,12/10/2023,Current,Sask. DR Lane Closure,Saskatchewan Drive NW,Gateway Boulevard NW,Queen Elizabeth Park Road NW,Increased Travel Time,Three Days,Saskatchewan Drive left turn onto Queen Elizabeth Park Road will be reduced to a single lane between 20:00hrs Dec.8 to 22:00hrs Dec. 10. Keep left or use alternate routes.,Monitoring well install,Construction,Central,Road,53.52365315,-113.4959688
11/24/2023,12/5/2023,12/15/2023,REVISED,175 St Reduced to 1 lane Each Way,175 Street NW,Stony Plain Road,100 Avenue NW,Travel Delays,11 Days,175 Street will be reduced to 1 lane in each way. The right turn lane from EB SPR to SB 175 St will be closed. SB traffic can use the EB left turn lane.,Power Install,Construction,Northwest,Road,53.54133405,-113.6228114
11/29/2023,12/7/2023,12/8/2023,Current,Whitemud Dr WB Short Term Closures,Whitemud Drive,159 Street NW,170 Street NW,Total Closure,1 Night (2 - 15 minute windows,Between 12am and 3am Whitemud Dr will be closed for 2 periods of 15 minutes for the removal of an overhead sign support on the morning of October 8. From 10pm to 5am Whitemud will be reduced to 1 lane WB.,Overhead Sign Replacement,Construction,Northwest,Road,53.51210176,-113.6153369
11/29/2023,12/7/2023,12/8/2023,Current,Whitemud Dr WB Short Term Closures,Whitemud Drive,159 Street NW,170 Street NW,Total Closure,1 Night (2 - 15 minute windows,Between 12am and 3am Whitemud Dr will be closed for 2 periods of 15 minutes for the removal of an overhead sign support on the morning of October 8. From 10pm to 5am Whitemud will be reduced to 1 lane WB.,Overhead Sign Replacement,Construction,Northwest,Road,53.51187755,-113.5967184
11/29/2023,12/4/2023,12/16/2023,Current,Traffic Split to the East,106 Street NW,35 Avenue NW,36A Avenue NW,Travel Delays,2 Weeks,Starts Dec 4th. 106st from 35ave - 36a ave will be split to the east due to a water valve repair. Expect travel delays.,WATER VALVE REPAIR REPLACE,Construction,Southwest,Road,53.46846351,-113.5041457
11/29/2023,12/4/2023,12/16/2023,Current,Traffic Split to the East,106 Street NW,35 Avenue NW,36A Avenue NW,Travel Delays,2 Weeks,Starts Dec 4th. 106st from 35ave - 36a ave will be split to the east due to a water valve repair. Expect travel delays.,WATER VALVE REPAIR REPLACE,Construction,Southwest,Road,53.47121213,-113.5041542
1/11/2023,10/31/2022,12/16/2023,REVISED,Yellowhead Trail Freeway Conversion Project,Yellowhead Trail,St. Albert Trail,156 Street NW,Travel Delays,12 Months,Yellowhead Trail in both directions from East of St. Albert Trail to West of 156 St will be reduced to two lanes with a speed reduction in place through the winter.,Yellowhead Trail Improvements,Construction,Northwest,Road,53.57840239,-113.5906105
9/14/2023,9/19/2023,12/6/2023,Current,Whitemud Dr WB #1 On-Ramp Lane Closure,Whitemud Drive NW,Calgary Trail NW,111 Street NW,Travel Delays,2.5 Months,Whitemud Dr WB on-ramp @ Calgary Tr will be reduced to one lane due to the pump station repair just W/O Calgary Tr. Lane closure limited to off-peak hours. Speed reduced to 60km/h within working zone. Expect travel delays.,Pump Station Repair,Construction,Southwest,Road,53.48043963,-113.4954805
9/14/2023,9/19/2023,12/6/2023,Current,Whitemud Dr WB #1 On-Ramp Lane Closure,Whitemud Drive NW,Calgary Trail NW,111 Street NW,Travel Delays,2.5 Months,Whitemud Dr WB on-ramp @ Calgary Tr will be reduced to one lane due to the pump station repair just W/O Calgary Tr. Lane closure limited to off-peak hours. Speed reduced to 60km/h within working zone. Expect travel delays.,Pump Station Repair,Construction,Southwest,Road,53.48278419,-113.5167892
8/17/2023,9/15/2023,12/31/2023,Current,144 Street Total Closure,144 Street NW,Stony Plain Road NW,101 Avenue NW,Total Closure,1.5 Months,"144 Street South of Stony Plain Road will be closed startnig on Fri, Sept 15th.",WLRT Construction,Construction,Northwest,Road and Sidewalk,53.54256973,-113.5691237
5/10/2023,8/14/2023,1/31/2024,REVISED,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,5 Months,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,53.54622942,-113.5047441
5/10/2023,8/14/2023,1/31/2024,REVISED,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,5 Months,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,53.54622861,-113.5102186
4/27/2023,5/1/2023,12/31/2023,REVISED,105 Ave Staged Closures,105 Avenue NW,109 Street NW,116 Street NW,Total Closure,8 Months,"Various staged directional and total closures on 105 Ave, 109 St - 116 St.",Columbia Ave Streetscape,Construction,Central,Road and Sidewalk,53.54825803,-113.5084394
8/10/2023,8/10/2023,12/15/2023,REVISED,"105 Ave Closed, 109 St - 108 St",105 Avenue NW,109 Street NW,108 Street NW,Total Closure,5 Months,105 Ave closed to traffic from 109 St - 108 St with pedestrian and cyclist access maintained. Periodic closures of 108 St at 105 Ave.,Columbia Ave Streetscape,Construction,Central,Road and Sidewalk,53.54825803,-113.5084394
4/27/2023,5/1/2023,12/31/2023,REVISED,105 Ave Staged Closures,105 Avenue NW,109 Street NW,116 Street NW,Total Closure,8 Months,"Various staged directional and total closures on 105 Ave, 109 St - 116 St.",Columbia Ave Streetscape,Construction,Central,Road and Sidewalk,53.54825818,-113.5213076
12/4/2023,12/4/2023,2/5/2024,Current,"Traffic Split on 91 St SW, Savaryn Dr-22 Ave",91 Street SW,Savaryn Drive SW,22 Avenue SW,Travel Delays,64 Days,"From December 4th to February 5th, 91 St SW from Savaryn Dr SW to 22 Ave  will be reduced to a single lane in each direction via traffic split due to sewer repairs.",Sewer Repairs,Construction,Southeast,Road,53.41551818,-113.4811067
12/4/2023,12/4/2023,12/6/2023,Current,116 St & 113 St at 111 Ave: Intersection detours,111 Avenue NW,116 Street NW,113 Street NW,Travel Delays,2 Nights (7pm - 6am),"111 Av & 116 St(Night of Dec 4):NB & SB right turns only at 111 Av, EB & WB left turns banned at 116 St, West crosswalk closed. 111 Av & 113 St(Night of Dec 5):NB & SB right turns only at 111 Av, EB & WB left turns banned at 113 St, East crosswalk closed.",Drainage Repair,Construction,Central,Road,53.55888189,-113.5213157
12/4/2023,12/4/2023,12/6/2023,Current,116 St & 113 St at 111 Ave: Intersection detours,111 Avenue NW,116 Street NW,113 Street NW,Travel Delays,2 Nights (7pm - 6am),"111 Av & 116 St(Night of Dec 4):NB & SB right turns only at 111 Av, EB & WB left turns banned at 116 St, West crosswalk closed. 111 Av & 113 St(Night of Dec 5):NB & SB right turns only at 111 Av, EB & WB left turns banned at 113 St, East crosswalk closed.",Drainage Repair,Construction,Central,Road,53.55888385,-113.5158008
12/4/2023,12/5/2023,12/5/2023,Current,EB Stony Plain Road Single Lane Closure,Stony Plain Road NW,218 Street NW,Winterburn Road NW,Travel Delays,1 Day,"Starting Dec 05, 2023 @ 12pm until 2pm Eastbound Stony Plain Road from 218 St to Winterburn Rd will be reduced to a single lane of traffic. Speeds reduced to 50 km/hr. Use other routes.",Bridge Inspection/Repairs,Construction,Northeast,Road,53.54158796,-113.6944355
12/4/2023,12/5/2023,12/5/2023,Current,EB Stony Plain Road Single Lane Closure,Stony Plain Road NW,218 Street NW,Winterburn Road NW,Travel Delays,1 Day,"Starting Dec 05, 2023 @ 12pm until 2pm Eastbound Stony Plain Road from 218 St to Winterburn Rd will be reduced to a single lane of traffic. Speeds reduced to 50 km/hr. Use other routes.",Bridge Inspection/Repairs,Construction,Northeast,Road,53.54275112,-113.6884571
